episode,timestep,reward
30,800,26.6
58,1600,27.8929
74,2400,49.6875
98,3200,33.5
116,4000,44.7222
133,4800,48.0
140,5600,98.4286
151,6400,67.7273
161,7200,91.2
171,8000,81.4
176,8800,156.2
184,9600,97.625
188,10400,192.5
191,11200,277.0
196,12000,175.4
201,12800,143.0
206,13600,166.0
211,14400,168.6
214,15200,263.3333
220,16000,120.0
223,16800,238.6667
226,17600,287.0
229,18400,258.6667
232,19200,314.6667
234,20000,284.0
237,20800,294.3333
240,21600,310.0
242,22400,334.5
244,23200,380.5
247,24000,327.0
249,24800,341.0
251,25600,392.0
254,26400,270.3333
256,27200,400.0
258,28000,400.0
260,28800,400.0
262,29600,400.0
264,30400,335.5
266,31200,400.0
269,32000,304.6667
271,32800,400.0
273,33600,375.5
275,34400,400.0
278,35200,309.0
280,36000,400.0
282,36800,400.0
284,37600,342.0
286,38400,400.0
288,39200,320.0
291,40000,371.3333
293,40800,295.0
296,41600,292.6667
298,42400,297.0
301,43200,321.0
303,44000,400.0
305,44800,377.0
307,45600,400.0
310,46400,334.3333
312,47200,318.0
315,48000,330.6667
317,48800,376.0
319,49600,400.0
321,50400,400.0
323,51200,400.0
326,52000,286.3333
328,52800,250.5
330,53600,400.0
332,54400,400.0
334,55200,400.0
336,56000,400.0
339,56800,278.3333
342,57600,296.3333
345,58400,308.3333
347,59200,382.5
349,60000,394.5
351,60800,363.5
353,61600,350.0
356,62400,344.6667
358,63200,374.5
360,64000,276.0
362,64800,375.0
365,65600,339.6667
367,66400,400.0
369,67200,400.0
371,68000,400.0
375,68800,195.25
378,69600,306.6667
380,70400,400.0
384,71200,218.25
386,72000,354.0
389,72800,268.3333
391,73600,358.5
393,74400,400.0
395,75200,400.0
397,76000,400.0
399,76800,400.0
401,77600,400.0
403,78400,400.0
405,79200,400.0
407,80000,400.0
409,80800,372.5
411,81600,376.5
413,82400,395.0
416,83200,346.6667
418,84000,400.0
420,84800,400.0
422,85600,400.0
424,86400,347.5
426,87200,400.0
428,88000,400.0
430,88800,400.0
432,89600,317.5
434,90400,400.0
436,91200,400.0
439,92000,364.3333
441,92800,400.0
443,93600,400.0
445,94400,353.0
447,95200,400.0
449,96000,400.0
451,96800,400.0
453,97600,348.0
455,98400,400.0
457,99200,400.0
459,100000,400.0
